conﬁning,['C0231441']
coo,['C0859032']
cooccurr,['C0424337']
cool,"['C0085593', 'C0085631']"
cooling,['C0085593']
coomb,"['C0427629', 'C0277977']"
coombe,['C0554980']
coot,['C0429562']
copd,"['C0013404', 'C0337672', 'C0743482', 'C0700292']"
cope,['C0233481']
copious,"['C0443260', 'C0000731']"
copycat,['C0438696']
cordectomy,['C0019825']
cordi,"['C0264576', 'C0018800']"
cordial,['C0917801']
coreceptor,['C0016927']
corkscrew,['C0857516']
coronary,['C0002962']
corporal,"['C0558141', 'C1384606']"
correctional,['C0237154']
corroborative,['C0034642']
corrosive,['C0728899']
corrugator,['C0231530']
corticobasal,"['C0234133', 'C0233565']"
corticomotor,['C0231530']
corticomuscular,"['C0040822', 'C0231530']"
corticosteroid,['C1517205']
coryza,"['C0043144', 'C0010200', 'C0424749', 'C0037383', 'C0023380']"
costophrenic,['C0264576']
cotinine,['C0337672']
cotransport,['C0235396']
cotransporter,['C0235396']
counterweight,['C0497406']
couplet,"['C0520886', 'C0039070']"
courage,['C0847488']
course,['C1517205']
covance,['C0746619']
cpap,"['C0700292', 'C0037384', 'C0020578']"
cpeo,"['C0004134', 'C0234133', 'C0013362', 'C0030552']"
cpet,"['C0425488', 'C0020578']"
cpfe,['C0743482']
cpitn,['C0149758']
cpk,"['C0020621', 'C0239981', 'C0028961', 'C0085619', 'C0020639']"
cpr,['C0578150']
cpsp,"['C0036396', 'C0392699', 'C0024031', 'C0030193', 'C0423571']"
cpth,"['C0040264', 'C0034880', 'C0024031']"
cpvt,"['C0232201', 'C0039070']"
crackle,"['C0034642', 'C0035508', 'C0541911', 'C0240100', 'C0232257']"
cram,['C0859032']
cramp,"['C0012833', 'C0030252', 'C0037763', 'C0231528', 'C0220870']"
cramping,"['C0016204', 'C1291077', 'C0232726', 'C0231528', 'C0220870']"
crao,['C0026961']
crap,['C0086439']
craving,"['C0030318', 'C0020175']"
crazy,"['C0558261', 'C0847488']"
crcc,['C0741302']
crcl,['C0239981']
cream,"['C0041834', 'C0085624']"
creamy,"['C0443260', 'C0577979', 'C0241157', 'C0948786']"
creat,['C0239981']
creatinin,"['C0239981', 'C0028961', 'C0020639', 'C0018965', 'C1405524']"
creatinine,"['C0239981', 'C0028961', 'C0020461', 'C0020621', 'C0020625']"
creep,['C0427008']
crepitation,"['C0034642', 'C0035508', 'C0240100', 'C0541911', 'C0231835']"
crepitus,"['C0013491', 'C0311395', 'C0232498', 'C0332575', 'C0003862']"
crescendo,['C0232292']
crescent,"['C0577979', 'C0038999']"
crewmember,['C0312422']
crib,"['C0576456', 'C0857516']"
cribriform,['C0741302']
cricopharyngeal,"['C1321756', 'C0038450', 'C0019825', 'C0013362']"
crime,"['C0237154', 'C0438696']"
criminal,"['C0438696', 'C0237154']"
criminality,"['C0438696', 'C0237154']"
criminalization,['C0237154']
criminology,['C0237154']
crippling,['C0742985']
crisis,"['C0231187', 'C0028084']"
criteriaexclusion,['C0018991']
critically,['C0578150']
crocker,['C0554980']
crooked,['C0857516']
crossmark,['C0007859']
crossmatch,['C0427629']
croup,"['C0043144', 'C0038450', 'C0010200']"
crp,['C0239981']
crps,"['C0392699', 'C0423571', 'C0036396', 'C0030193', 'C0030554']"
crq,['C0013404']
crumple,['C0008301']
cruri,['C0013491']
crust,['C0241157']
crusted,"['C0241157', 'C0041834', 'C0332573']"
crusting,"['C0241157', 'C0013491', 'C0041834', 'C0085624', 'C0332575']"
crutch,['C0425251']
cruz,['C0746619']
cry,"['C0013144', 'C0028084', 'C0027769', 'C0917801', 'C0037383']"
cryoglobulin,"['C0020639', 'C0003862']"
cryoglobulinemic,['C1096646']
cryostimulation,['C0149746']
cryptogenic,['C0236018']
cryptosporidiosis,['C0011991']
cscc,['C0741302']
csd,['C0036572']
csf,['C1405524']
csnb,"['C0085635', 'C0085636']"
csq,['C0004604']
csvt,['C0019080']
ct,['C0034079']
ctajr,['C0034079']
ctcae,"['C0559546', 'C1096646', 'C0027497']"
cten,['C1269955']
cteph,['C0700292']
cti,"['C0520887', 'C0232201']"
ctim,['C0024031']
ctlp,['C0741302']
ctnt,"['C0520887', 'C0520886']"
ctnus,"['C0520887', 'C0520886']"
ctpa,"['C0232267', 'C0578150']"
cts,['C0231530']
ctth,"['C0018681', 'C0042571', 'C0036396', 'C0040264', 'C0030193']"
cud,['C0013132']
cull,['C0311395']
culprit,['C0002962']
cupping,"['C0042571', 'C0423571', 'C0036396', 'C0013491', 'C0085636']"
curling,"['C0241157', 'C0038999']"
curtailment,"['C0020175', 'C0392674']"
curvature,['C0427008']
cushingoid,"['C0019572', 'C0019209', 'C0019214', 'C0003123', 'C0576456']"
custodial,['C0237154']
custody,['C0237154']
cutaneous,['C0041834']
cva,"['C0085619', 'C0235710', 'C0039070', 'C0008031', 'C0000727']"
cvcc,"['C0859032', 'C0008301']"
cvd,['C0497406']
cvemp,"['C0040264', 'C0231530']"
cvid,['C0241526']
cvr,['C0149746']
cvst,['C0019080']
cwp,"['C0024031', 'C0036396', 'C0242453']"
cxr,"['C0034642', 'C0232267', 'C0277797', 'C0241235', 'C0018800']"
cyan,['C0429562']
cyanotic,"['C0010520', 'C0018800', 'C0240100', 'C0232118', 'C0231835']"
cyberbully,['C0438696']
cyberbullying,['C0438696']
cyclicity,['C0600142']
cycling,"['C0392674', 'C0205254']"
cyclist,['C0205254']
cyclopentolate,['C0026961']
cycloplegic,['C0026961']
cycloplegium,['C0026961']
cylindroma,['C0332573']
cynical,['C0847488']
cypa,['C0016927']
cyst,"['C0221198', 'C1313921']"
cystic,['C0264576']
cystitis,"['C0242453', 'C0018965', 'C0020625']"
cystocele,['C1384606']
cystogram,"['C1313921', 'C0740844']"
cystography,['C1313921']
cystometric,"['C0425488', 'C0242453', 'C0149746']"
cystometry,"['C0242453', 'C0149746', 'C0232201']"
cystostomy,['C1313921']
cystotomy,['C1313921']
cystourethrogram,"['C1313921', 'C0018965', 'C0740844']"
cystourethrography,"['C1313921', 'C0242453']"
cytologic,['C0741302']
cytological,['C0741302']
cytologically,['C0741302']
cytology,['C0741302']
cytomorphological,['C0741302']
cytomorphology,['C0741302']
cytopathologic,['C0741302']
cytopathological,['C0741302']
cytopathologist,['C0741302']
cytopathology,['C0741302']
cytopenia,"['C0038002', 'C0085702', 'C1096646']"
daan,['C0242429']
dactylitis,"['C0003862', 'C0018862']"
daily,"['C0009806', 'C0917801', 'C0581912', 'C0205254']"
dako,['C0746619']
damage,['C0728899']
damaged,['C0241158']
damages,['C0728899']
damn,['C0859032']
dampened,['C0235396']
dampness,['C0043144']
daneshvari,['C0019079']
danforth,['C0554980']
darken,"['C0443260', 'C0332573', 'C0241157']"
darkening,"['C0443260', 'C0085624', 'C0030232', 'C0038999', 'C0948786']"
darkly,['C0241157']
dative,['C0233647']
daycare,['C0043144']
daytime,"['C0037384', 'C0234450', 'C0751229', 'C0013144', 'C0014394']"
db,['C0034880']
dbhl,"['C0034880', 'C0040264']"
dbpcfc,['C0149696']
dbs,"['C0040822', 'C0040264']"
dci,['C0741302']
dcis,['C0741302']
dcm,['C0232201']
dcmd,['C0231530']
ddat,['C0242143']
ddavp,['C0032617']
deaf,['C0040264']
deafen,"['C0040264', 'C0034880']"
deafferentation,['C0040264']
deafness,"['C0004134', 'C0034880', 'C0003126']"
death,"['C0156543', 'C0728899']"
debilitate,['C0742985']
debilitated,"['C0742985', 'C0149758', 'C0231221']"
debilitating,['C0742985']
debility,"['C0742985', 'C0917801', 'C0012833', 'C0027769', 'C0004093']"
decannulation,['C0038450']
decease,['C0424092']
deceleration,['C0520887']
decerebrate,"['C0231530', 'C0522224']"
decibel,"['C0034880', 'C0040264']"
decidua,['C0860096']
decline,"['C0085639', 'C0392674']"
decliner,['C0233467']
decoherence,['C0542044']
decompensate,"['C0231187', 'C0020461', 'C0020625', 'C1096646', 'C0028961']"
decompensated,['C0020461']
decondition,"['C0015672', 'C0392674', 'C0231230']"
deconditioning,"['C0015672', 'C0149746', 'C0231230', 'C0392674', 'C0020578']"
decongestant,['C0026961']
decouple,['C0542044']
decoupling,['C0542044']
decrement,"['C0392674', 'C0015672']"
decremental,"['C0231530', 'C0020578', 'C0425488']"
dect,['C0034079']
decubitus,['C0578150']
deduct,['C0424092']
defaecation,"['C0232726', 'C1291077', 'C0232602', 'C0016204', 'C0009806']"
defecate,"['C0013132', 'C0581912']"
defecation,"['C0232602', 'C0009806', 'C0016204', 'C1291077', 'C0013132']"
defer,"['C0424092', 'C0578150']"
defervescence,"['C0424749', 'C1096646', 'C0240805', 'C0020639', 'C1517205']"
defibrillation,['C0232201']
defibrillator,['C0039070']
deficiency,['C0004134']
deficit,"['C0338656', 'C0036572', 'C0234133', 'C0233565', 'C0242143']"
deficits,"['C0338656', 'C0233844', 'C0233565', 'C1273573']"
definite,['C0231221']
deflation,"['C0020578', 'C0425488']"
deformability,['C0427008']
deformation,['C0427008']
degeneration,['C0004134']
degloving,['C0008767']
deglutition,"['C0013132', 'C0038450', 'C0872410', 'C0019825', 'C0232602']"
degree,['C0427008']
dehiscence,"['C0008767', 'C0013491']"
delay,['C0036572']
deliberate,['C0438696']
delight,['C0558261']
delighted,['C0558261']
delinquency,"['C0438696', 'C0237154']"
delinquent,['C0438696']
delirious,"['C0085628', 'C0857256', 'C0438696', 'C0007398', 'C0234133']"
deliveryam,['C0006157']
delivew,"['C0006157', 'C0860096', 'C0156543']"
demand,['C1299586']
demeester,['C0018834']
dement,['C0338656']
demented,"['C0338656', 'C0871754']"
demise,['C0231187']
demon,['C0558261']
dend,['C0234133']
denervated,['C0231530']
denervation,"['C0231530', 'C0037763']"
denier,['C0558261']
density,['C0427008']
denudation,"['C0241158', 'C0205400']"
denude,['C0241158']
denuded,['C0241158']
deoxygenation,"['C0020578', 'C0020440', 'C0700292', 'C0149746']"
depersonalisation,['C0022107']
depersonalization,"['C0233492', 'C0424230', 'C0022107']"
depiction,['C0429562']
depigmentation,"['C0332573', 'C0041834', 'C0241157']"
depigmented,"['C0332573', 'C0241157']"
depilatory,['C0948786']
deportation,['C0237154']
deposition,['C0205400']
depress,['C0522224']
depressed,['C0030318']
depression,"['C0030318', 'C0438696', 'C0030193']"
depressive,"['C0030318', 'C0438696']"
depressor,['C0231530']
deprivation,['C0020175']
deprive,['C0205254']
deqi,"['C0677500', 'C0423571', 'C0030193', 'C0040264', 'C0085624']"
dequs,"['C0423571', 'C0677500', 'C0040264', 'C0030193', 'C0085624']"
derange,"['C0020639', 'C0239981', 'C0578150', 'C0020621', 'C0240962']"
deranged,"['C0020639', 'C0239981', 'C0020621', 'C0019209', 'C0240962']"
derangement,"['C0231187', 'C0020639', 'C0020621', 'C0020625', 'C0020461']"
dercum,['C0036396']
derecruitment,"['C0020578', 'C0020440', 'C0425488', 'C0700292', 'C0232118']"
deren,['C0221232']
derivatives,['C0231690']
dermatitis,"['C0033774', 'C0041834']"
dermatofibroma,['C0332573']
dermatoladannals,['C0234133']
dermatolan,['C0041834']
dermatolanais,['C0041834']
dermatolindian,['C0332573']
dermatologic,"['C0033774', 'C0041834', 'C0559546']"
dermatological,"['C0041834', 'C0033774']"
dermatology,['C0041834']
dermatomal,"['C0392699', 'C0423571', 'C0030554', 'C0036396']"
dermatome,"['C0392699', 'C0030554', 'C0423571', 'C0028643', 'C0030193']"
dermatopathologist,['C0741302']
dermatopathology,['C0741302']
dermatoscopic,['C0332573']
dermatoscopy,['C0332573']
dermatosis,['C0332573']
dermi,['C0241157']
dermopathy,['C0332573']
dermoscopic,['C0332573']
dermoscopy,['C0332573']
derotation,['C0277845']
desaturation,"['C0700292', 'C0020578', 'C0037384', 'C0010520', 'C0231835']"
desflurane,['C0020578']
desiccation,['C0085593']
desmoplasium,['C0741302']
desmopressin,"['C0032617', 'C0020625', 'C0020461', 'C0014394']"
desogestrel,['C0239301']
despair,"['C0917801', 'C0233481']"
desperate,['C0558261']
desperation,['C0847488']
desquamation,"['C0041834', 'C0332575', 'C0241157', 'C0013491', 'C0085624']"
desquamative,['C0241157']
destruction,['C0008767']
destructive,"['C0008767', 'C0241158']"
desynchrony,"['C0751229', 'C0149746']"
detach,['C0424092']
detain,['C0237154']
detainee,['C0237154']
detention,['C0237154']
deteriorated,"['C0085628', 'C1273573', 'C0577979', 'C0425251', 'C0000731']"
deterioration,"['C0231187', 'C0700292', 'C0030552', 'C0392674', 'C0015672']"
determiner,['C0233647']
detoxification,['C0728899']
detrimentally,"['C0742985', 'C0338656']"
detrusor,"['C0242453', 'C1321756']"
deuschl,['C0040822']
devitalize,['C0241158']
dexterity,"['C0233844', 'C0231230']"
dextrocardium,"['C0018800', 'C0264576', 'C0740844', 'C0232267']"
deﬁciencies,['C0742985']
deﬁcit,"['C0338656', 'C0034880', 'C0233844', 'C0347938', 'C0233565']"
deﬁcits,"['C0338656', 'C0234133', 'C0233844', 'C0233565']"
deﬂation,"['C0020578', 'C0149746']"
deﬂection,['C0231530']
deﬂections,['C0231530']
df,['C0424337']
dfsp,['C0741302']
dfus,"['C0023222', 'C1384606']"
dhbv,['C0016927']
dhca,['C0578150']
dheas,['C0239301']
dhm,['C0559546']
diad,"['C0520887', 'C0520886']"
diagnosable,['C0007398']
diagnose,['C0231221']
diagnoses,"['C0007398', 'C0234133', 'C0004604']"
diagnosis,['C0231221']
dialysate,['C0020625']
dialysis,['C0020625']
dialytic,"['C0020625', 'C0239981']"
diam,['C0241157']
diapedesis,['C1269955']
diaphoresis,"['C0220870', 'C0235710', 'C0030252', 'C0392162', 'C0231835']"
diaphragmatic,"['C0264576', 'C0038450']"
diarrhoea,"['C0011991', 'C0042963', 'C0009806', 'C0424749', 'C0010200']"
diarrhoeal,['C0011991']
diaschisis,['C0347938']
diathesis,"['C0018965', 'C0019080', 'C0003862', 'C0149758', 'C0013491']"
dictation,['C0233647']
didanosine,['C1096646']
die,"['C0424092', 'C0085639']"
dienogest,['C0600142']
diest,"['C0741302', 'C0024103']"
diet,"['C0043094', 'C0497406']"
dietary,"['C0043094', 'C0497406']"
dietetic,['C0497406']
dieting,"['C0020175', 'C0043094', 'C0497406']"
differentiator,['C0542044']
difficult,['C1299586']
difficultly,"['C1299586', 'C0008301', 'C0233844']"
diffuse,"['C0221198', 'C0205400']"
diffusivity,['C0427008']
difluprednate,['C0026961']
difﬁculties,['C1299586']
difﬁculty,['C1299586']
digestive,"['C0016204', 'C0149696', 'C0009806', 'C0000737']"
digit,['C0233844']
digitali,['C0020461']
digitus,['C0231530']
digoxin,['C0020461']
dih,['C0559546']
dihydrotestosterone,['C0239301']
dilatation,"['C0205400', 'C0037763', 'C0264576', 'C0038450', 'C0019080']"
dilate,"['C0205400', 'C0264576', 'C0740844']"
dilated,"['C0018800', 'C0205400', 'C0264576']"
dilation,"['C0205400', 'C0037763', 'C0026961']"
dili,"['C1096646', 'C0559546', 'C0728899']"
dilutional,"['C0020625', 'C0020639', 'C0020461', 'C0239981']"
dimethylnitrosamine,['C0728899']
dimple,['C0038999']
dioxide,"['C0700292', 'C0020578']"
diplegium,"['C0030552', 'C0004134', 'C0013362', 'C0233844', 'C0018991']"
diplopium,"['C0085636', 'C0030552', 'C0042571', 'C0030554', 'C1273573']"
dipper,['C0149746']
diquafosol,['C0026961']
dirty,['C0008301']
disabilities,['C0233844']
disability,"['C0024031', 'C0015672', 'C0425251', 'C0871754', 'C0030193']"
disable,"['C0742985', 'C0024031']"
disabled,"['C0871754', 'C0425251', 'C0522224']"
disablement,['C0338656']
disabling,['C0338656']
disadvantage,['C1299586']
disagree,"['C0847488', 'C0233481']"
disappearance,['C0205400']
disappoint,['C0847488']
disappointed,"['C0847488', 'C0558261']"
disappointment,"['C0233481', 'C0847488']"
disarrangement,['C0205400']
disarray,"['C0205400', 'C0018800', 'C0264576']"
disassemble,['C0231441']
disassociate,['C0424092']
discard,['C0424092']
discectomy,['C0036396']
discharge,"['C0085639', 'C0036572']"
discharging,"['C0085624', 'C0677500']"
discitis,['C0036396']
disco,['C0859032']
discogenic,"['C0036396', 'C0024031']"
discography,"['C0036396', 'C0024031']"
discoid,"['C0241157', 'C0332573']"
discoloration,"['C0013491', 'C0085624', 'C0030232', 'C0332575', 'C0041834']"
discolouration,"['C0030232', 'C0013491', 'C0577979', 'C0085624', 'C0241157']"
discomfort,"['C0030193', 'C0085624', 'C1291077', 'C0016382', 'C0012833']"
disconnection,['C0347938']
disconnectivity,"['C0347938', 'C0338656']"
discontinuance,['C0559546']
discontinuation,"['C0559546', 'C1517205', 'C0424092', 'C0231187', 'C1096646']"
discontinue,"['C0424092', 'C0559546', 'C1517205', 'C1096646']"
discontinued,['C0424092']
discouragement,['C0233481']
disease,"['C0424749', 'C0231221', 'C0742985']"
diseasea,"['C0004604', 'C0008031', 'C0018965']"
diseased,"['C0241158', 'C0231221']"
diseaseenviron,['C0337672']
diseaserelated,['C0006625']
diseases,['C0424749']
disfigure,"['C0013491', 'C0038999']"
disfigurement,"['C0742985', 'C0019825', 'C0149758', 'C0008767', 'C0013491']"
disfiguring,"['C0742985', 'C0008767']"
disfunction,"['C0037763', 'C0231187', 'C0019214', 'C0742985', 'C0020621']"
disgusted,['C0847488']
disharmony,['C0917801']
disinterested,['C0847488']
dislike,"['C0847488', 'C0233481']"
dislodge,['C0424092']
dislodgement,['C0008301']
dismutase,['C0237304']
diso,['C0338656']
disorder,"['C0007398', 'C0018681']"
disorders,"['C0007398', 'C0234133']"
disorganisation,"['C0233467', 'C0424230']"
disorganization,['C0205400']
disorientation,"['C1273573', 'C0872410', 'C0085628', 'C0233844', 'C0030554']"
disoriented,"['C1273573', 'C0872410', 'C0234450', 'C0857256', 'C0541992']"
dispersed,['C0231441']
displaced,['C0231441']
displeasure,"['C0233492', 'C0233481']"
disposition,['C0728899']
disproportion,"['C0006157', 'C0264576', 'C0576456']"
disproportionality,['C0559546']
disputation,"['C0233647', 'C0231690']"
disqualify,['C0424092']
dissatisfaction,['C0233481']
dissatisfied,['C0847488']
dissatisfy,"['C0847488', 'C0235198', 'C0857256']"
dissatisﬁed,"['C0847488', 'C0234450']"
dissemination,['C1269955']
dissociate,['C0424092']
dissociative,['C0030318']
dissonant,['C0233647']
distend,"['C0000731', 'C0264576', 'C0740844']"
distended,"['C0000731', 'C0740844', 'C0264576', 'C0232498', 'C0205400']"
distensibility,['C0427008']
distension,"['C1291077', 'C0042963', 'C0232726', 'C0232602', 'C0016382']"
distention,"['C1291077', 'C0232726', 'C0232602', 'C0016204', 'C0232498']"
distractibility,"['C0338656', 'C0233844']"
distress,"['C0015672', 'C0233481', 'C0030193', 'C0392674', 'C0013404']"
distressed,"['C0847488', 'C0857256', 'C0233481', 'C0030318', 'C0234450']"
distressing,"['C0233481', 'C0028084', 'C0847488']"
disturbance,"['C0012833', 'C0015672', 'C0013144', 'C0917801', 'C0042571']"
disturbed,['C0032617']
disturbing,"['C0233481', 'C0027769', 'C0917801']"
disyllabic,['C0233647']
diuresis,"['C0020625', 'C0020461', 'C0020649', 'C0020621', 'C0032617']"
diuretic,"['C0020461', 'C0020621', 'C0020649', 'C0020625']"
diuretics,"['C0020461', 'C0020621', 'C0428977', 'C0028961']"
divide,['C0085639']
divisive,['C0542044']
divorce,['C0237154']
dizygotic,['C0558141']
dizzy,"['C0220870', 'C0012833', 'C0917801', 'C0234450', 'C0581912']"
dka,"['C0020461', 'C0020621', 'C0020625', 'C0032617', 'C0231187']"
dlb,"['C0347938', 'C0234133', 'C0917799']"
dlco,"['C0013404', 'C0085619', 'C0743482', 'C0035508', 'C0700292']"
dle,"['C0332573', 'C0041834', 'C0241157']"
dlmo,['C0751229']
dlqi,['C0033774']
dlt,"['C1096646', 'C0231187', 'C0559546']"
dmard,['C1517205']
dmn,['C0347938']
dnic,['C0040264']
dock,['C0429562']
dod,['C0018932']
dodge,['C0554980']
dofetilide,['C0232201']
dogj,['C0311395']
dogon,['C0860096']
dogs,['C0311395']
dogsam,['C0311395']
dogsj,['C0311395']
dogsvet,['C0311395']
dohertyj,['C0337672']
doms,['C0015672']
donate,['C0424092']
donors,['C0427629']
donut,['C0857516']
doppler,"['C0006318', 'C0240100']"
dorsiflexor,['C0231530']
dorzolamide,['C0026961']
dosage,['C0043094']
douching,['C1384606']
douglass,['C0554980']
dounce,['C0018991']
dow,['C0554980']
downbeat,"['C0040822', 'C0872410', 'C0042571', 'C0013362']"
doze,"['C0234450', 'C0028084', 'C0312422', 'C0917801', 'C0027769']"
dpn,['C0392699']
dpnp,"['C0392699', 'C0423571']"
dpoa,"['C0040264', 'C0034880']"
dpoae,"['C0034880', 'C0040264']"
dqa,['C0281825']
drainage,['C1313921']
drawback,['C1299586']
drb,['C0281825']
drd,['C0234133']
dread,['C0233481']
dreadful,['C0558261']
dream,['C0028084']
dren,['C0043144']
dribble,"['C0037383', 'C0581912', 'C0232292', 'C0392680', 'C0013132']"
drinker,"['C0337672', 'C0205254', 'C0497406']"
drinking,['C0728899']
drip,"['C0016382', 'C0581912', 'C0948786', 'C0085593']"
driving,['C0312422']
dronedarone,['C0232201']
droop,"['C0872410', 'C0030232', 'C0028643', 'C0019825', 'C1273573']"
drop,"['C0085639', 'C0424092']"
drown,"['C0008301', 'C0312422']"
drowning,"['C0008301', 'C0312422']"
drowsy,"['C0234450', 'C0085628', 'C0013144', 'C0009024', 'C0041657']"
drplum,['C0004134']
drta,['C0032617']
druginduced,['C1096646']
drugpo,['C0237154']
drunk,"['C0234450', 'C0312422', 'C0558261', 'C0008301']"
drunkenness,"['C0312422', 'C0438696', 'C0237154']"
dry,['C0085593']
dryness,"['C0085624', 'C0600142', 'C0016382', 'C1291077', 'C0332575']"
dsap,['C0332573']
dsd,['C0558141']
dsmiv,['C0007398']
dspn,"['C0234133', 'C0034880']"
dsst,"['C0338656', 'C0233565']"
dsu,['C0242429']
dtbz,['C0347938']
dtus,['C0347938']
duction,['C0002416']
duffy,['C0427629']
dull,"['C0028643', 'C0231218', 'C0332575', 'C0085624', 'C0392680']"
dumb,"['C0859032', 'C0558261']"
dumpy,['C0242143']
duo,['C0859032']
duodenitis,"['C0018932', 'C0232726', 'C0018965', 'C0149696']"
dupuytren,"['C0018862', 'C0036396']"
duration,['C0010200']
dvm,['C0311395']
dvt,['C0039070']
dyrklum,['C0338656']
dysarthric,"['C0013362', 'C0233844', 'C1273573', 'C0233647']"
dysarthrium,"['C1273573', 'C0013362', 'C0030552', 'C0233844', 'C0234133']"
dysautonomium,"['C0234133', 'C0004134', 'C0013362', 'C0040822']"
dysconnectivity,"['C0347938', 'C0338656']"
dyscrasia,"['C0020639', 'C1405524']"
dyscrasium,['C0020639']
dysentery,"['C0011991', 'C0424749', 'C0016204']"
dysesthesium,"['C0392699', 'C0030554', 'C0423571', 'C0028643', 'C0085624']"
dysexecutive,"['C0338656', 'C0233565']"
dysfunction,"['C0231187', 'C0020649', 'C0015672']"
dysfunctional,['C0392674']
dysgeusium,"['C0004093', 'C0033774', 'C0085624', 'C0012833', 'C0677500']"
dyskaryosis,['C0741302']
dyskinesia,"['C0040822', 'C0233565', 'C0234133', 'C0036572', 'C0392699']"
dyskinesium,"['C0040822', 'C0036572', 'C0037763', 'C0234133', 'C0233565']"
dyskinetic,"['C0233565', 'C0040822', 'C0234133']"
dysmenorrhea,"['C0600142', 'C1384606', 'C0009806', 'C0016204', 'C1291077']"
dysmenorrhoea,"['C0600142', 'C1384606', 'C1291077', 'C0235250', 'C0009806']"
dysmetrium,"['C0872410', 'C0013362', 'C0030552', 'C0233844', 'C1273573']"
dysmorphic,['C0019214']
dysmorphism,"['C0030232', 'C0019214']"
dysmotility,"['C1321756', 'C0009806', 'C0232602', 'C1291077', 'C0149696']"
dyspareunium,"['C1384606', 'C0600142', 'C0013428', 'C0232726', 'C1291077']"
dyspepsia,"['C0009806', 'C1291077', 'C0018834', 'C0016204', 'C0149696']"
dyspeptic,"['C0018834', 'C1291077', 'C0016204']"
dysphagia,"['C0019825', 'C0038450', 'C0009806', 'C0013132', 'C0030554']"
dysphagic,"['C0013132', 'C0338656', 'C0233565']"
dysphasium,"['C0013362', 'C1273573', 'C0233844', 'C0030552', 'C0030554']"
dysphonium,"['C0019825', 'C0038450', 'C0013362', 'C0042571', 'C0013132']"
dysphoric,['C0022107']
dysphorium,"['C0022107', 'C0424230']"
dysplastic,['C0741302']
dyspneic,"['C0277797', 'C0578150', 'C0857256', 'C0013404', 'C0034642']"
dyspnoea,"['C0013404', 'C0392680', 'C0085619', 'C0231835', 'C0034642']"
dyspraxium,"['C0233844', 'C0013362', 'C1273573', 'C0004134', 'C0234133']"
dysreflexium,"['C0039070', 'C0037763', 'C0428977', 'C0020649', 'C0030552']"
dysrhythmia,"['C0428977', 'C0039070', 'C0030252', 'C0028961', 'C0020461']"
dysrhythmium,"['C0428977', 'C0235710', 'C0039070', 'C0030252', 'C0234544']"
dyssynchronous,"['C0232201', 'C0520886']"
dyssynchrony,['C0232201']
dyssynergium,"['C0014394', 'C1321756', 'C0030554', 'C0030552', 'C0042571']"
dysthymia,"['C0022107', 'C0007398']"
dysthymic,['C0030318']
dysthymium,['C0022107']
dystocium,"['C0006157', 'C0311395', 'C0576456']"
dystonia,"['C0234133', 'C0040822', 'C0233565', 'C0004134', 'C0013362']"
dystonic,"['C0040822', 'C0234133', 'C0872410', 'C0233565', 'C0009024']"
dystonium,"['C0040822', 'C0004134', 'C0234133', 'C0233565', 'C0042571']"
dystrophy,['C0004134']
dysurium,"['C0013428', 'C0232726', 'C0018965', 'C1384606', 'C1291077']"
ead,['C0232201']
eager,['C0558261']
eamg,['C1260880']
ease,['C1299586']
easiness,['C1299586']
easy,['C1299586']
eat,['C0020175']
eater,['C0020175']
eating,"['C0020175', 'C0497406', 'C0043094', 'C0205254', 'C0424337']"
eatp,['C0235396']
eau,['C1517205']
eave,['C0558261']
ebrb,['C0497406']
ecadherin,['C1269955']
ecchymose,"['C0013491', 'C0030232', 'C0085624', 'C0232498', 'C0041834']"
eccrine,"['C0038990', 'C0332573']"
ecg,"['C0520887', 'C0039070', 'C0232201', 'C0520886', 'C0232267']"
echinococcal,['C1313921']
echocardiogram,"['C0018800', 'C0232267', 'C0232257', 'C0520887', 'C0240100']"
echocardiographic,['C0232201']
echocardiographically,['C0232118']
echogenic,"['C0205400', 'C0740844']"
echogenicity,['C0205400']
echography,['C0740844']
echoic,['C0740844']
eclampsia,"['C0860096', 'C0235250', 'C0019080', 'C0006157', 'C0000727']"
eclampsium,"['C0860096', 'C0019080', 'C0235250', 'C0006157']"
eclamptic,"['C0860096', 'C0006157']"
ecmo,"['C0700292', 'C0578150']"
economo,['C0221232']
ecre,['C0231530']
ectodomain,['C0016927']
ectopy,"['C0039070', 'C0232201', 'C0520887', 'C0520886', 'C0231530']"
ectropion,"['C0008767', 'C0013491']"
eczema,"['C0033774', 'C0041834', 'C0011991', 'C0149696', 'C0332575']"
eczematous,"['C0041834', 'C0241157', 'C0085624', 'C0033774', 'C0332573']"
edema,"['C0019080', 'C0205400', 'C0020649', 'C0030232', 'C0013491']"
edematous,"['C0205400', 'C0241157', 'C0000731', 'C0013491', 'C0030232']"
edentulism,['C0149758']
edh,['C0019080']
edno,['C0030318']
eds,['C0037384']
edss,['C0233565']
eecp,['C0232201']
eelv,"['C0020440', 'C0020578', 'C0700292', 'C0232118']"
eep,['C0234450']
efalizumab,['C1517205']
effacement,"['C0205400', 'C0740844']"
effort,['C1299586']
effusion,"['C0019079', 'C0424749', 'C0019080', 'C0205400', 'C0013404']"
eft,['C0002416']
efw,['C0006157']
egd,['C0018932']
egeblad,['C1269955']
egerton,['C0554980']
ehg,['C0006157']
ehh,['C0281825']
ehmtic,"['C0007859', 'C0018681']"
ehra,['C0086439']
ehrlich,['C0003962']
eht,['C0232201']
eiav,['C0016927']
